# 51842 of 51842
# Minimum x: 0
# Minimum y: 0
# Minimum z: 0
# Maximum x: 141.0981
# Maximum y: 176.00237
# Maximum z: 130.5685
# <local id> <pos x> <pos y> <pos z> <type>
# Number of local subdomains: 1
# Local subdomain 0 boundaries (0, 0, 0) - (141.0981, 176.00237, 130.5685)
# ID, Position (x y z), type 
1 19.370560 54.467470 63.900310 ex
2 17.849990 54.501960 64.244110 ex
3 18.383060 62.295130 58.847790 ex
4 17.755140 62.326320 60.950440 ex
5 15.122960 69.274980 54.826630 ex
6 25.721520 46.915200 58.538670 ex
7 20.242810 53.682150 64.005190 ex
8 20.457590 55.173150 64.025810 ex
9 17.330910 55.865750 64.861700 ex
10 16.370750 68.235750 54.584350 ex
11 21.180840 68.044110 53.177740 ex
12 17.190740 53.148400 63.912640 ex
13 8.260020 55.370490 66.462580 ex
14 8.209360 53.924820 66.473450 ex
15 6.886310 55.897600 66.015780 ex
16 9.863890 56.268970 66.464190 ex
17 15.192620 56.749320 65.386710 ex
18 15.936060 55.672110 65.197630 ex
19 16.019340 58.354550 65.056180 ex
20 13.511870 56.692470 65.608020 ex
21 15.212660 54.130600 65.126590 ex
22 20.122660 56.418210 64.148540 ex
23 18.518650 57.076310 64.640990 ex
24 21.239720 57.226020 63.721400 ex
25 16.361740 61.847840 61.046430 ex
26 16.356150 61.608800 59.518330 ex
27 18.564080 62.366150 60.559760 ex
28 16.818660 62.025300 59.183630 ex
29 23.308710 64.115780 74.862400 ex
30 20.101140 69.682060 67.905790 ex
31 17.950510 58.487890 64.646270 ex
32 14.227950 56.319110 67.945430 ex
33 13.126050 56.990400 68.066890 ex
34 14.451540 57.702820 67.650210 ex
35 14.766320 54.668450 67.043120 ex
36 7.548160 54.883350 67.466960 ex
37 6.377380 56.155510 68.073890 ex
38 8.781210 55.417270 66.947820 ex
39 7.512610 53.336940 68.598150 ex
40 6.399820 57.622720 67.645890 ex
41 6.010380 55.736200 69.733130 ex
42 15.116030 59.391270 64.661700 ex
43 21.217850 56.555800 63.763120 ex
44 19.216850 56.689320 64.654650 ex
45 20.610210 57.509180 63.834090 ex
46 16.564310 59.739290 64.905630 ex
47 15.489210 61.542610 62.449040 ex
48 18.148190 62.175790 56.868040 ex
49 13.781630 72.224940 53.462380 ex
50 43.724560 53.115700 47.256890 ex
51 27.949080 59.811460 40.586630 ex
52 22.318460 48.442530 55.997000 ex
53 27.101610 49.674790 45.880110 ex
54 29.738380 65.855050 70.556590 ex
55 30.680120 66.671350 69.352110 ex
56 32.342970 66.719050 68.960590 ex
57 19.698610 68.756410 67.852630 ex
58 23.336240 68.682830 67.934800 ex
59 15.231780 69.967330 67.866160 ex
60 12.368480 71.490890 67.211550 ex
61 32.934970 70.505140 65.574090 ex
62 25.494270 70.573110 67.961270 ex
63 22.254780 69.786170 68.165920 ex
64 25.000410 71.760740 68.044950 ex
65 25.671650 73.359760 67.824640 ex
66 23.585990 72.335210 68.784880 ex
67 22.398190 71.465370 68.891450 ex
68 23.598510 74.251620 68.824410 ex
69 24.594710 74.869250 68.226240 ex
70 15.854070 70.757160 67.528700 ex
71 22.567610 75.204280 69.090460 ex
72 24.724110 76.305110 67.485010 ex
73 2.649490 77.596930 57.872780 ex
74 2.190930 79.427920 60.148320 ex
75 2.248010 79.131620 58.738740 ex
76 32.333480 67.584290 67.588910 ex
77 23.138380 66.346350 70.799680 ex
78 22.974870 67.800450 69.917310 ex
79 24.163200 69.110250 69.601400 ex
80 11.810060 56.457990 67.386760 ex
81 13.349640 58.374090 67.770540 ex
82 10.651060 57.765550 67.134140 ex
83 11.249220 54.525290 66.982150 ex
84 18.940110 55.025260 65.073180 ex
85 20.646680 66.709230 53.139420 ex
86 17.582360 53.838860 65.719360 ex
87 20.088670 54.252000 64.784760 ex
88 15.720230 60.665100 63.752160 ex
89 13.550770 59.326260 64.600730 ex
90 18.613980 60.014240 63.768610 ex
91 14.366270 60.980740 62.860890 ex
92 17.287000 61.154720 63.268630 ex
93 14.770620 61.327200 61.539470 ex
94 13.719380 60.979400 59.947060 ex
95 13.110630 60.359400 63.454040 ex
96 9.131400 57.245820 66.754100 ex
97 7.919750 58.180210 66.845220 ex
98 11.179760 59.590290 67.415070 ex
99 5.683550 58.851090 68.009090 ex
100 16.711440 56.780230 66.426890 ex
101 15.350850 57.923900 66.680220 ex
102 18.220040 57.373570 65.232830 ex
103 16.350500 54.908490 66.494570 ex
104 20.971990 54.962680 64.295130 ex
105 23.925890 65.468540 77.197600 ex
106 22.896600 64.759280 77.025410 ex
107 25.230470 64.613770 76.156160 ex
108 28.689020 68.676580 79.819770 ex
109 18.772270 60.313460 63.481980 ex
110 17.525200 61.990980 61.884340 ex
111 18.644960 62.014790 59.960460 ex
112 18.338260 62.010520 60.215590 ex
113 22.855790 54.725960 63.834180 ex
114 17.338580 61.679850 58.644270 ex
115 17.075610 61.078790 57.147890 ex
116 14.758130 60.981070 58.656340 ex
117 14.406650 60.856790 56.757970 ex
118 12.203500 60.743830 60.094250 ex
119 11.450050 60.668410 58.908190 ex
120 11.246890 60.778800 61.880020 ex
121 9.926230 60.865100 60.198100 ex
122 11.850800 60.934980 56.759830 ex
123 9.717210 60.868370 61.815030 ex
124 9.157860 61.106700 59.611730 ex
125 15.741690 60.882380 56.123590 ex
126 17.700860 61.481600 55.710710 ex
127 16.367990 61.285180 54.686420 ex
128 13.128780 61.074220 55.490120 ex
129 13.295540 62.081920 54.066220 ex
130 10.852600 61.029910 56.198540 ex
131 10.744050 61.839880 55.022950 ex
132 9.531120 61.340290 57.028480 ex
133 6.744200 60.410590 67.432950 ex
134 4.900860 59.166260 69.158910 ex
135 15.337280 59.161150 65.832820 ex
136 18.086490 59.096440 64.558060 ex
137 17.490870 61.697240 62.387040 ex
138 13.858610 68.672300 71.154280 ex
139 17.963630 68.593250 68.944740 ex
140 18.820390 71.006520 68.650090 ex
141 17.208630 71.245040 68.619400 ex
142 15.832150 69.047330 72.260950 ex
